country,year_menarche,menarche_10,menarche_11,menarche_12,menarche_13,menarche_14,menarche_15,menarche_never,menarche_dont_know,menarche_mean_age
Burkina Faso,2021,0.7,0.7,5.3,10.8,24,31.9,1.5,1.8,14.7
Cambodia,2021,0.1,0.5,4.3,11.7,22,21.9,1.1,0.8,15.1
Cote d'Ivoire,2021,1.3,3.1,13.1,22.3,26.4,19.3,0.7,1.1,13.9
Ghana,2022,1.1,2.6,8.7,15.7,19.6,24.3,0.5,0.9,14.6
Kenya,2022,0.9,1.2,9.1,17.5,23.5,22.8,0.6,1.3,14.5
Mozambique,2022,1.1,4.1,15,20.1,23.4,16.7,0.9,5.8,13.9
Nepal,2022,0.8,3.2,17.1,26.2,25,14.1,0.2,3.4,13.6
Philippines,2022,4.5,9.8,27.6,25.6,15.8,8.9,0.2,0.1,13
Tanzania,2022,0.4,0.9,4.8,13.2,27.1,24.2,2.1,1.5,14.7
